"name"," Найменування"," Статус"," Введено знову"," Раніше опублікований у"," Альтернативні найменування"," Ключові слова"," Застосовність"," Коментарі щодо застосування"," Клас форми"," Клас функцій"," Клас застосування"," Примітки"," Форма"," Альтернативні форми"," Складові частини"," Замінює"," Застарілий з"," Замінений на"," Обмеження символу"," img"
" S00217"," цифровий сигнал"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-17-09",," цифровий сигнал"," S01750, S01751, S01289, S01290"," А00057, А00059, А00358"," символи, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221143935597.png"
"S00218"," функція контактора"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-01-01",," контактори, контакти"," S00284, S00286, S00285, S00377, S01413"," А00061"," півкола"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221143946931.png"
" S00219"," функція вимикача"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-01-02",," вимикачі, переривач"," S00287, S01413, S01860"," А00061"," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221144002103.png"
" S00220"," функція роз'єднувача"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-01-03",," роз'єднувачі"," S00292, S00289, S00288, S00369, S01413, S01860"," А00061"," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221144014813.png"
" S00221"," функція вимикача-роз'єднувача"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-01-04"," функція роз'єднувача"," роз'єднувачі, вимикачі"," S00290, S00291, S00370"," А00061"," кола, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221144027113.png"
" S00222"," автоматичне спрацювання"," стандарт"," 01.07.2001","МЕК 60617-7 (ред. 2.0) 07-01-05",," перемикання, спрацювання"," S00285, S00291, S01413"," А00061"," квадрати"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники"," функція спрацьовування може запускатися вбудованим вимірювальним реле або розблоковувачем",,,,,,,," symb/image-20241221144040324.png"
" S00223"," функція колійного вимикача"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-01-06",," дорожні вимикачі"," S00260, S00261, S00259"," А00061, А00062, А00063"," прямокутний трикутник"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221144057196.png"
" S00224"," функція автоматичного повернення"," застарілий"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-01-07"," пружинне повернення"," автоматичне повернення"," S00251, S00249, S00252"," А00061, А00064, А00065"," рівносторонні трикутники"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,," 25.01.2003",,," symb/image-20241221144110200.png"
" S00225","відсутність автоматичного повернення"," застарілий"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-01-08"," утримування на місці","відсутність автоматичного повернення"," S00250, S00252"," А00061, А00066, А00067"," кола"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,," 25.01.2003",,," symb/image-20241221144121861.png"
" S00226"," перемикач примусового розмикання"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-01-09",," примусове розмикання"," S00258, S00257, S00262, S00296"," А00061, А00068, А00069"," стрілки, кола"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221144131565.png"
" S00227"," контакт, загальний символ; вимикач, загальний символ"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-02-01",," контакти, комутуючі пристрої","S00243, S00244, S00247, S00253, S00248, S00254, S00250, S00249, S00256, S00255, S00376, S00261, S00259, S00267 S00269, S00287, S00284, S00285, S00290, S00292, S00291, S00294, S00288, S00296, S00295, S00359, S00358, S00366 S01413, S01454, S00961, S00951, S00950, S01855, S01859"," А00060, А00061"," лінії"," До обробки сигналів або інформації, Q кероване перемикання або регулювання"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми",,,,," S00228; S00283",,,," symb/image-20241221144142315.png"
" S00228"," контакт, загальний символ; вимикач, загальний символ"," застарілий"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-02-02",," контакти, комутуючі пристрої"," S00289"," А00061"," кола, лінії"," До обробки сигналів або інформації, Q кероване перемикання або регулювання"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми",," застаріла",,," S00283"," 23.03.2002"," S00227",," symb/image-20241221144154493.png"
" S00229"," розмикаючий контакт"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-02-03",," контакти, вимикачі"," S00245, S00246, S00251, S00260, S00258, S00261, S00268, S00268, S00264, S00266 S01462"," А00060, А00061"," лінії"," До обробки сигналів або інформації, Q кероване перемикання або регулювання"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми",,,,,,,,,"symb/image-20241221144207886.png"
" S00230"," перемикаючий контакт"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-02-04",," контакти, вимикачі"," S00268, S00267, S00269, S00320, S01416, S01330"," А00060, А00061"," лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми",,,,,,,,," symb/image-20241221144220421.png"
" S00231"," перемикаючий контакт із нейтральним центральним положенням"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-02-05",," контакти, вимикачі"," S00252, S00321"," А00061"," кола, лінії"," До обробки сигналів або інформації, Q кероване перемикання або регулювання"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми",,,,,,,,," symb/image-20241221144233180.png"
" S00232"," перемикаючий контакт без розмикання ланцюга"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-02-06",," контакти, вимикачі",," А00060, А00061"," лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми",," форма 1"," S00233",,,,,," symb/image-20241221144243038.png"
" S00233"," перемикаючий контакт без розмикання ланцюга"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-02-07",," контакти, вимикачі"," S00040, S00267, S01856"," А00060, А00061"," лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми",," Форма 2"," S00232",,,,,," symb/image-20241221144255547.png"
" S00234"," контакт із подвійним замиканням"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-02-08",," контакти, вимикачі",," А00060, А00061"," лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми",,,,,,,,," symb/image-20241221144306621.png"
" S00235","контакт із подвійним розмиканням"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-02-09",," контакти, вимикачі",," А00060, А00061"," лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми",,,,,,,,," symb/image-20241221144317256.png"
" S00236"," контакт імпульсний замикаючий при спрацьовуванні"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-03-01",," контакти, вимикачі",," А00060, А00061"," лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," контакт замикається миттєво при спрацьовуванні керуючого пристрою",,,,,,,," symb/image-20241221144328970.png"
" S00237"," контакт імпульсний замикаючий при поверненні"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-03-02",," контакти, вимикачі",," А00060, А00061"," лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," контакт замикається миттєво при поверненні керуючого пристрою",,,,,,,," symb/image-20241221144338188.png"
" S00238"," контакт імпульсний замикаючий при спрацьовуванні та поверненні"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-03-03",," контакти, вимикачі",," А00060, А00061"," лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми","контакт замикається миттєво при включенні та вимкненні керуючого пристрою",,,,,,,," symb/image-20241221144349494.png"
" S00239"," замикаючий контакт, що спрацьовує раніше по відношенню до інших контактів групи"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-04-01",," контакти, вимикачі"," S00279"," А00060, А00061"," лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," цей контакт спрацьовує раніше за інші контакти групи",,,,,,,," symb/image-20241221144400404.png"
" S00240"," замикаючий контакт, який спрацьовує пізніше стосовно інших контактів групи"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-04-02",," контакти, вимикачі"," S00279"," А00060, А00061"," лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," цей контакт спрацьовує пізніше за інші контакти групи",,,,,,,," symb/image-20241221144410537.png"
" S00241","розмикаючий контакт, що спрацьовує пізніше по відношенню до інших контактів групи"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-04-03",," контакти, вимикачі",," А00060, А00061"," лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," цей контакт розмикається пізніше за інші розмикаючі контакти групи",,,,,,,," symb/image-20241221144421460.png"
" S00242"," розмикаючий контакт, що спрацьовує раніше по відношенню до інших контактів групи"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-04-04",," контакти, вимикачі",," А00060, А00061"," лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," цей контакт розмикається пізніше за інші розмикаючі контакти групи",,,,,,,," symb/image-20241221144435266.png"
" S00243"," контакт замикаючий, із уповільненням при спрацьовуванні"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-05-01",," контакти, вимикачі"," S00248"," А00060, А00061, А00070"," півкола, лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," після увімкнення пристрою, що містить контакт, він замкнеться через заданий час",,," S00148; S00227",,,,,"symb/image-20241221144450032.png"
" S00244"," контакт замикаючий, із уповільненням при поверненні"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-05-02",," контакти, вимикачі",," А00060, А00061, А00070"," півкола, лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," після вимкнення пристрою, що містить контакт, він розімкнеться через заданий час",,," S00149;",,,,," symb/image-20241221144511051.png"
" S00245"," контакт розмикаючий, із уповільненням при спрацьовуванні"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-05-03",," контакти, вимикачі",," А00060, А00061, А00070"," півкола, лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," після увімкнення пристрою, що містить контакт, він розімкнеться через заданий час",,," S00148;",,,,," symb/image-20241221144520772.png"
" S00246"," Нормально замкнутий контакт, що замикає із затримкою"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-05-04",," контакти, вимикачі"," S00248"," А00060, А00061, А00070"," півкола, лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," після увімкнення пристрою, що містить контакт, він розімкнеться через заданий час",,," S00149;",,,,," symb/image-20241221144532221.png"
"S00247"," Нормально розімкнений контакт, що замикає із уповільненням при спрацьовуванні та поверненні"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-05-05",," контакти, вимикачі",," А00060, А00061, А00070"," півкола, лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," контакт замикається через заданий час після увімкнення та вимкнення пристрою, що містить контакт",,," S00148; S00149; S00227",,,,," symb/image-20241221144543792.png"
" S00248"," контактна група"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-05-06",," контакти, вимикачі",," А00060, А00061, А00070"," півкола, лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," показана група з одного замикаючого контакту без уповільнення, одного замикаючого контакту з уповільненням після увімкнення пристрою, що містить його, одного розмикаючого контакту з уповільненням після вимкнення містить його пристрою",,,"S00144; S00227; S00243; S00246",,,,," symb/image-20241221144602100.png"
" S00249"," замикаючий контакт із самоповерненням"," застарілий"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-06-01",," контакти, вимикачі",," А00060, А00061, А00064, А00065"," рівносторонні трикутники, лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," скасовано як технічно застарілий",,," S00224; S00227",," 23.03.2002",,," symb/image-20241221144616466.png"
" S00250"," контакт замикаючий, без повернення"," застарілий"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-06-02",," контакти, вимикачі"," S00322"," А00060, А00061, А00066, А00067"," кола, лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," контакт без самоповернення скасовано як технічно застарілий",,," S00225; S00227",," 23.03.2002",,," symb/image-20241221144629610.png"
" S00251"," розмикаючий контакт із самоповерненням"," застарілий"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-06-03",," контакти, вимикачі",," А00060, А00061, А00064, А00065"," рівносторонні трикутники, лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," скасовано як технічно застарілий",,," S00224; S00229",," 23.03.2002",,," symb/image-20241221144645244.png"
" S00252","контакт перемикаючий, з нейтральним центральним становищем, з самоповерненням з лівого положення та без повернення з правого положення"," застарілий"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-06-04",," контакти, вимикачі",," А00061, А00064, А00065, А00066, А00067"," кола, рівносторонні трикутники, лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," показаний контакт з нейтральним центральним становищем із самоповерненням з лівого положення та без повернення з правого положення скасовано як технічно застарілий",,," S00224;",," 23.03.2002",,," symb/image-20241221144656772.png"
" S00253"," вимикач ручний, загальний символ"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-07-01",," контакти, вимикачі",," А00060, А00061, А00082, А00083"," лінії"," перетворення ручної операції на сигнал"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми",,,," S00167; S00227",,,,," symb/image-20241221144708544.png"
" S00254"," вимикач кнопковий з автоматичним поверненням"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-07-02",," контакти, вимикачі"," S00257"," А00060, А00061, А00082"," лінії"," перетворення ручної операції на сигнал"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми",,,," S00171; S00227",,,,," symb/image-20241221144719948.png"
" S00255"," вимикач ручний, витягуванням, з автоматичним поверненням"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-07-03",," контакти, вимикачі",," А00060, А00061, А00082"," лінії"," перетворення ручної операції на сигнал"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми",,,," S00169; S00227",,,,," symb/image-20241221144731051.png"
" S00256"," вимикач ручний, поворотом, без автоматичного повернення"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-07-04",," контакти, вимикачі",," А00060, А00061, А00083"," лінії"," перетворення ручної операції на сигнал"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми",,,," S00170; S00227",,,,," symb/image-20241221144742621.png"
" S00257","вимикач натискний кнопковий з примусовим розмиканням, з автоматичним поверненням"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-07-05"," аварійний вимикач"," контакти, вимикачі",," А00060, А00061, А00082"," стрілки, кола, лінії"," перетворення ручної операції на сигнал"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми",,,," S00226; S00254",,,,," symb/image-20241221144754449.png"
" S00258"," вимикач аварійного зупинки"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-07-06",," контакти, вимикачі",," А00060, А00061, А00082"," стрілки, кола, лінії"," перетворення ручної операції на сигнал"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," приводиться в дію грибоподібною кнопкою, має контакт примусового розмикання, пристрій утримування заданої позиції",,," S00151; S00174; S00226; S00229",,,,," symb/image-20241221144804517.png"
" S00259"," замикаючий контакт кінцевого вимикача"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-08-01",,"контакти, кінцеві вимикачі, вимикачі",," А00060, А00061, А00084","лінії, прямокутний трикутник"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми",,,," S00223; S00227",,,,," symb/image-20241221144814826.png"
" S00260"," розмикаючий контакт кінцевого вимикача"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-08-02",,"контакти, кінцеві вимикачі, вимикачі"," S00262"," А00060, А00061, А00084","лінії, прямокутний трикутник"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми",,,," S00223; S00229",,,,," symb/image-20241221144827525.png"
" S00261"," вимикач кінцевий з двома окремими ланцюгами"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-08-03",,"контакти, кінцеві вимикачі, вимикачі",," А00060, А00061, А00084","лінії, прямокутний трикутник"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," з механічним керуванням в обох напрямках, з двома окремими ланцюгами",,," S00144; S00223; S00227; S00229",,,,," symb/image-20241221144847962.png"
" S00262"," розмикаючий контакт кінцевого вимикача примусового розмикання"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-08-04"," обмежувальний вимикач","контакти, кінцеві вимикачі, примусове розмикання, вимикачі",," А00060, А00061, А00084"," стрілки, кола, лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми",,,," S00226; S00260",,,,," symb/image-20241221144858715.png"
" S00263"," замикаючий контакт, чутливий до температури"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-09-01",," контакти, вимикачі, температура",," А00060, А00061, А00085"," символи, лінії"," Перетворення змінної на сигнал"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми",,,," S00227",,,,," symb/image-20241221144908971.png"
" S00264"," контакт, що розмикає, чутливий до температури"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-09-02",," контакти, вимикачі, температура",," А00060, А00061"," символи, лінії"," Перетворення змінної на сигнал"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми",,,," S00229",,,,," symb/image-20241221144919202.png"
" S00265"," розмикаючий контакт автоматичного теплового вимикача"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-09-03"," біметалічний контакт, що розмикає"," контакти, вимикачі, температура",," А00060, А00061"," лінії"," Перетворення змінної на сигнал"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми","важливо розрізняти зображений контакт та контакт термореле. В окремому поданні термореле Застосування Символ S00191",,," S00120; S00229",,,,," symb/image-20241221144933261.png"
" S00266"," газорозрядна трубка з термоелементом"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-09-04"," пускач для люмінесцентних ламп"," контакти, вимикачі",,," кола, точки, лінії"," До обробки сигналів чи інформації"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми",,,," S00062; S00116; S00120",,,,," symb/image-20241221144943151.png"
" S00267"," складання контактів з важільним керуванням"," застарілий"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-11-01",," контакти, вимикачі",," А00061, А00082, А00083"," лінії"," перетворення ручної операції на сигнал","принципові схеми","блокування у верхньому положенні, з автоматичним поверненням із нижнього положення в середнє. У верхньому положенні два розмикаючі контакти (S00229) і два перемикаючі контакти (S00230). У нижньому положенні три замикаючих (S00227), два перемикаючих (S00230) контакти і два контакти з",,," S00017; S00144; S00150; S00151; S00227; S00229; S00230; S00233",," 23.03.2002",,," symb/image-20241221144957433.png"
" S00268"," складання контактів, один блок з кнопковим керуванням, один блок з поворотним керуванням"," застарілий"," 01.07.2001"," МЕК60617-7 (ред. 2.0) 07-11 -02",," контакти, вимикачі",," А00061, А00082, А00083"," лінії"," перетворення ручної операції на сигнал","принципові схеми","керуванням одним блоком контактів здійснюється натисканням кнопки (автоматичний повернення), іншим поворотом (немає автоматичного повернення), позначено клемами. Дужка вказує на те, що є лише один привід. У верхній групі один розмикаючий (S00229) та два замикаючі (S00227) контакти. У нижній групі два замикаючі (S00227) і один перемикаючий (S00230) контакт. Скасовано як технічно застарілий",,," S00017; S00144; S00170; S00171; S00227; S00229; S00230",," 23.03.2002",,," symb/image-20241221145020967.png"
" S00269"," складання контактів, з кнопковим або поворотним керуванням"," застарілий"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-11-03",," контакти, вимикачі",," А00061, А00082, А00083"," лінії"," перетворення ручної операції на сигнал","принципові схеми","керуванням таким блоком контактів може здійснюватися двома способами: повертанням (немає автоматичного повернення) та натисканням (автоматичне повернення); позначено контактами. У складання один перемикаючий (S00230), один розмикаючий (S00229) і один замикаючий (S00227)",,," S00017; S00144; S00170; S00171; S00227; S00229; S00230",," 23.03.2002",,," symb/image-20241221145043842.png"
" S00270"," багатопозиційний перемикач"," стандарт"," 01.07.2001"," МЕК60617-7 (ред. 2.0) 07-11 -04",," контакти, вимикачі"," S00276, S00278, S00275, S00277, S00279"," А00061"," лінії"," перетворення ручної операції на сигнал","принципові схеми"," показано шість позицій",,,,,,,," symb/image-20241221145114356.png"
" S00271"," багатопозиційний перемикач, максимум чотири позиції"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-11-05",," контакти, вимикачі"," S00272, S00274"," А00060, А00061"," лінії"," перетворення ручної операції на сигнал","принципові схеми",,,,,,,,," symb/image-20241221145130886.png"
" S00272","багатопозиційний перемикач з діаграмою положення"," стандарт"," 01.07.2001"," МЕК60617-7 (ред. 2.0) 07-11 -06",," контакти, вимикачі",," А00060, А00061, А00251"," лінії"," перетворення ручної операції на сигнал","принципові схеми",,,," S00177; S00271",,,,," symb/image-20241221145145162.png"
" S00273"," багатопозиційний перемикач, незалежні ланцюги"," застарілий"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-11-07",," контакти, вимикачі",," А00061, А00082, А00083"," лінії"," перетворення ручної операції на сигнал","принципові схеми"," показаний з ручним управлінням, чотири незалежні ланцюги",,," S00167",," 12.08.2003"," S01454",," symb/image-20241221145202037.png"
" S00274"," багатопозиційний перемикач, одна позиція без комутованого ланцюга"," застарілий"," 01.07.2001"," МЕК60617-7 (ред. 2.0) 07-11 -08",," контакти, вимикачі",," А00060, А00061"," лінії"," перетворення ручної операції на сигнал","принципові схеми"," другу позицію не можна підключити",,," S00271",," 12.08.2003"," S01454",," symb/image-20241221145215961.png"
" S00275"," багатопозиційний перемикач зі ковзним контактом перемикання"," застарілий"," 01.07.2001","МЕК 60617-7 (ред. 2.0) 07-11-09",," контакти, вимикачі",," А00061"," лінії"," перетворення ручної операції на сигнал","принципові схеми"," ковзний контакт з'єднує ланцюг тільки доки переміщається від однієї позиції до іншої",,," S00270",," 12.08.2003"," S01454",," symb/image-20241221145229911.png"
" S00276"," багатопозиційний перемикач з рухомим контактом, що з'єднує кілька сусідніх кіл"," застарілий"," 01.07.2001"," МЕК60617-7 (ред. 2.0) 07-11 -10",," контакти, вимикачі",," А00061"," лінії"," перетворення ручної операції на сигнал","принципові схеми"," рухомий контакт замикає три сусідні ланцюги в кожній позиції",,," S00270",," 12.08.2003"," S01454",," symb/image-20241221145246270.png"
" S00277"," багатопозиційний перемикач з рухомим контактом, що з'єднує кілька кіл"," застарілий"," 01.07.2001"," МЕК60617-7 (ред. 2.0) 07-11 -11",," контакти, вимикачі",," А00061"," лінії"," перетворення ручної операції на сигнал","принципові схеми"," рухомий контакт замикає три ланцюги, виключаючи один проміжний",,," S00270",," 12.08.2003"," S01454",," symb/image-20241221145301321.png"
"S00278"," багатопозиційний перемикач з рухомим контактом, що підключає паралельний ланцюг"," застарілий"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-11-12",," контакти, вимикачі",," А00061"," лінії"," перетворення ручної операції на сигнал","принципові схеми"," для підключення паралельного ланцюга до ланцюгів, замкнених у попередній позиції. Скасовано як технічно застарілий",,," S00270",," 23.03.2002",,," symb/image-20241221145315970.png"
" S00279"," багатопозиційний перемикач, позначено випереджальне або запізнювальне спрацювання контакту, що розмикає або замикає"," застарілий"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-11 -13"," один полюс багатополюсного перемикача"," контакти, вимикачі",," А00061"," лінії"," перетворення ручної операції на сигнал","принципові схеми","коли рухомий контакт переміщається з позиції 2 позицію 3, контакт позиції 3 замикається з випередженням. Коли рухомий контакт переміщається з позиції 5 у позицію 6, контакт позиції 6 розмикається із запізненням. При зворотному переміщенні контакту операції змінюються протилежні. Скасовано як технічно застарілий",,," S00239; S00240; S00270",," 23.03.2002",,," symb/image-20241221145332763.png"
" S00280"," перемикач зі складною комутацією, загальний символ"," застарілий"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-12-01",," перемикачі зі складною комутацією, перемикачі"," S00281, S00282"," А00086"," лінії, прямокутники"," перетворення ручної операції на сигнал"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," скасовано як технічно застарілий",,,,," 23.03.2002"," S01454",," symb/image-20241221145347358.png"
" S00281","перемикач зі складною комутацією, галетного типу"," застарілий"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-12-02",," перемикачі зі складною комутацією, перемикачі",," А00252"," символи, лінії, прямокутники"," перетворення ручної операції на сигнал"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," вісімнадцятипозиційний роторний перемикач з шістьма затискачами, позначеними від А до F, конструкцію див. на схемі примітки А00252. Літери не є частиною позначення. Скасовано як технічно застарілий",,," S00280",," 23.03.2002",,," symb/image-20241221145402333.png"
" S00282"," перемикач зі складною комутацією, роторний"," Застарілий"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-12-03",," перемикачі зі складною комутацією, перемикачі",," А00253"," символи, лінії, прямокутники"," перетворення ручної операції на сигнал"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми","шестипозиційний роторний перемикач з п'ятьма затискачами, конструкцію див. у примітці А00253. Букви не є частиною позначення.",,," S00280",," 23.03.2002",,," symb/image-20241221145416229.png"
" S00283"," перемикання"," застарілий"," 01.05.1996"," МЕК 60617-7 (ред. 2.0) 07-13-01",," комутуючі пристрої",,," лінії"," Q кероване перемикання або регулювання"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," помилка публікації; використовуйте Символ S00227 або S00228",,,,," 01.07.2001"," S00228;",," symb/image-20241221145433165.png"
" S00284"," контакт контактора замикаючий"," стандарт"," 01.07.2001"," МЕК 60617-7 (ред. 2.0) 07-13-02",," контактори, контакти, комутуючі пристрої"," S00301"," А00060"," півкола, лінії"," Q кероване перемикання або регулювання"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," контакт розімкнуто в неробочій позиції",,," S00218;",,,,,"symb/image-20241221145448239.png"
